Item,Min,Max,Bin
joke,0,0,0
joke,1,1,1
joke,2,2,2
joke,3,3,3
joke,4,4,4
joke,5,5,5
joke,6,6,6
joke,7,7,7
joke,8,8,8
joke,9,9,9
joke,10,10,10
joke,11,11,11
joke,12,12,12
joke,13,13,13
joke,14,14,14
marbles,0,0,0
marbles,1,1,1
marbles,2,2,2
marbles,3,3,3
marbles,4,4,4
marbles,5,5,5
marbles,6,6,6
marbles,7,7,7
marbles,8,8,8
marbles,9,9,9
marbles,10,10,10
marbles,11,11,11
marbles,12,12,12
marbles,13,13,13
marbles,14,14,14
movies,0,15,0
movies,16,30,1
movies,31,45,2
movies,46,60,3
movies,61,75,4
movies,76,90,5
movies,91,105,6
movies,106,120,7
movies,121,135,8
movies,136,150,9
movies,151,165,10
movies,166,180,11
movies,181,195,12
movies,196,210,13
movies,211,235,14
tv,0,3,0
tv,4,6,1
tv,7,9,2
tv,10,12,3
tv,13,15,4
tv,16,18,5
tv,19,21,6
tv,22,24,7
tv,25,27,8
tv,28,30,9
tv,31,33,10
tv,34,36,11
tv,37,39,12
tv,40,42,13
tv,43,45,14
coffee,0,44,0
coffee,45,56,1
coffee,57,68,2
coffee,69,80,3
coffee,81,92,4
coffee,93,104,5
coffee,105,116,6
coffee,117,128,7
coffee,129,140,8
coffee,141,152,9
coffee,153,164,10
coffee,165,176,11
coffee,177,188,12
coffee,189,200,13
coffee,201,212,14
watch,0,50,0
watch,51,100,1
watch,101,150,2
watch,151,200,3
watch,201,250,4
watch,251,300,5
watch,301,350,6
watch,351,400,7
watch,401,450,8
watch,451,500,9
watch,501,550,10
watch,551,600,11
watch,601,650,12
watch,651,700,13
watch,701,750,14
commute,0,6,0
commute,7,13,1
commute,14,20,2
commute,21,27,3
commute,28,34,4
commute,35,41,5
commute,42,48,6
commute,49,55,7
commute,56,62,8
commute,63,69,9
commute,70,76,10
commute,77,83,11
commute,84,90,12
commute,91,97,13
commute,98,104,14
laptop,0,500,0
laptop,501,1000,1
laptop,1001,1500,2
laptop,1501,2000,3
laptop,2001,2500,4
laptop,2501,3000,5
laptop,3001,3500,6
laptop,3501,4000,7
laptop,4001,4500,8
laptop,4501,5000,9
laptop,5001,5500,10
laptop,5501,6000,11
laptop,6001,6500,12
laptop,6501,7000,13
laptop,7001,7500,14
