"","workerid","tag","chosen_tag","unchosen_tag","lower_chosen","higher_chosen","chosen_bin","unchosen_bin","chosen_higher"
"1",0,"movies","15-30","0-15",FALSE,TRUE,2,1,1
"2",0,"movies","75-90","15-30",FALSE,TRUE,6,2,1
"3",0,"movies","150-165","195-210",TRUE,FALSE,11,14,0
"4",0,"movies","150-165","75-90",FALSE,TRUE,11,6,1
"5",0,"movies","195-210","210",TRUE,FALSE,14,15,0
"6",0,"marbles","14","13",FALSE,TRUE,15,14,1
"7",0,"marbles","13","10",FALSE,TRUE,14,11,1
"8",0,"marbles","10","5",FALSE,TRUE,11,6,1
"9",0,"marbles","5","1",FALSE,TRUE,6,2,1
"10",0,"marbles","1","0",FALSE,TRUE,2,1,1
"11",0,"tv","40-42","43",TRUE,FALSE,14,15,0
"12",0,"tv","16-18","4-6",FALSE,TRUE,6,2,1
"13",0,"tv","4-6","0-3",FALSE,TRUE,2,1,1
"14",0,"tv","16-18","31-33",TRUE,FALSE,6,11,0
"15",0,"tv","31-33","40-42",TRUE,FALSE,11,14,0
"16",0,"laptop","$500-$1000","$0-$500",FALSE,TRUE,2,1,1
"17",0,"laptop","$2500-$3000","$5000-$5500",TRUE,FALSE,6,11,0
"18",0,"laptop","$500-$1000","$2500-$3000",TRUE,FALSE,2,6,0
"19",0,"laptop","$6500-$7000","$7500",TRUE,FALSE,14,15,0
"20",0,"laptop","$5000-$5500","$6500-$7000",TRUE,FALSE,11,14,0
"21",0,"commute","7-13","0-6",FALSE,TRUE,2,1,1
"22",0,"commute","91-97","98",TRUE,FALSE,14,15,0
"23",0,"commute","70-76","91-97",TRUE,FALSE,11,14,0
"24",0,"commute","35-41","7-13",FALSE,TRUE,6,2,1
"25",0,"commute","35-41","70-76",TRUE,FALSE,6,11,0
"26",0,"watch","$50-$100","$0-$50",FALSE,TRUE,2,1,1
"27",0,"watch","$50-$100","$250-$300",TRUE,FALSE,2,6,0
"28",0,"watch","$650-$700","$750",TRUE,FALSE,14,15,0
"29",0,"watch","$500-$550","$650-$700",TRUE,FALSE,11,14,0
"30",0,"watch","$250-$300","$500-$550",TRUE,FALSE,6,11,0
"31",0,"joke","13","10",FALSE,TRUE,14,11,1
"32",0,"joke","10","5",FALSE,TRUE,11,6,1
"33",0,"joke","1","0",FALSE,TRUE,2,1,1
"34",0,"joke","5","1",FALSE,TRUE,6,2,1
"35",0,"joke","14","13",FALSE,TRUE,15,14,1
"36",0,"coffee","44°F - 56°F","44°F",FALSE,TRUE,2,1,1
